age,capital-gain,capital-loss,hours-per-week,workclass Self-emp-not-inc,workclass Private,workclass Federal-gov,workclass Local-gov,workclass ?,workclass Self-emp-inc,workclass Without-pay,workclass Never-worked,education HS-grad,education 11th,education Masters,education 9th,education Some-college,education Assoc-acdm,education Assoc-voc,education 7th-8th,education Doctorate,education Prof-school,education 5th-6th,education 10th,education 1st-4th,education Preschool,education 12th,marital-status Married-civ-spouse,marital-status Divorced,marital-status Married-spouse-absent,marital-status Separated,marital-status Married-AF-spouse,marital-status Widowed,occupation Exec-managerial,occupation Handlers-cleaners,occupation Prof-specialty,occupation Other-service,occupation Sales,occupation Craft-repair,occupation Transport-moving,occupation Farming-fishing,occupation Machine-op-inspct,occupation Tech-support,occupation ?,occupation Protective-serv,occupation Armed-Forces,occupation Priv-house-serv,relationship Husband,relationship Wife,relationship Own-child,relationship Unmarried,relationship Other-relative,race Black,race Asian-Pac-Islander,race Amer-Indian-Eskimo,race Other,sex Female
0.265491104,0.497895101,0.197700502,0.083405012,0.137120624,0.335716025,0.938778705,0.164725131,0.241587061,0.587047276,0.003276595,0.853673338,0.767678004,0.110918261,0.219252494,0.605724774,0.976301347,0.452241739,0.419501151,0.340670378,0.885475671,0.241657182,0.203040552,0.74905385,0.92270293,0.169856578,0.541075849,0.05076169,0.984186802,0.183013935,0.673620812,0.30606423,0.875877174,0.672363312,0.242360283,0.436866788,0.323890356,0.402100938,0.191067166,0.208101089,0.311175101,0.421294635,0.406199562,0.44650938,0.638224881,0.772408222,0.53034786,0.119258987,0.401694355,0.217232197,0.5504411,0.482101853,0.062271903,0.515317367,0.796557346,0.55511047,0.911110331
0.018238167,0.850589143,0.015229393,0.012280212,0.010267252,0.047424643,0.01672427,0.010951779,0.022200569,0.053442964,0.013000781,0.014375139,0.223798069,0.025688934,0.015428741,0.055369605,0.02634152,0.025351077,0.008207964,0.017067511,0.027205247,0.020602939,0.015776295,0.046584916,0.015647195,0.019797598,0.041940607,0.545115156,0.013850789,0.054969408,0.075039708,0.020342826,0.046831642,0.051050479,0.054380987,0.019437688,0.050638575,0.03029609,0.031845073,0.0203008,0.03747435,0.057871044,0.011636558,0.030521689,0.046991818,0.02897403,0.035968264,0.09184029,0.129981933,0.070918279,0.022290011,0.056572313,0.067844637,0.01714343,0.010119071,0.011441928,0.056821298
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.448728598,0.006459224,0.141588732,0.132175833,0.349700042,0.286862324,0.280512333,0.175374322,0.358887081,0.366765289,0.082655336,0.074268875,0.348821388,0.620607079,0.517924912,0.007861819,0.966225341,0.322410191,0.237113604,0.148997027,0.199055215,0.491365969,0.389267957,0.542907058,0.270759367,0.517423354,0.503978231,0.179151362,0.048416059,0.211540738,0.736473424,0.108167621,0.126474594,0.029952492,0.249386181,0.575686618,0.562390497,0.131872598,0.229547843,0.078448018,0.049674721,0.238850401,0.241415113,0.042353936,0.603020447,0.683955132,0.400640038,0.141792934,0.030252448,0.090110203,0.131955706,0.626807636,0.058133148,0.187729883,0.510749113,0.138231832,0.77020966
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.063485803,0.25178774,0.082231555,0.022997838,0.063266683,0.183465463,0.071413246,0.053166946,0.085709018,0.071715109,0.098746944,0.070759917,0.134730128,0.156962205,0.070125605,0.060768022,0.11950614,0.050102398,0.091276107,0.070649091,0.061451781,0.072626417,0.043384175,0.056645061,0.024519172,0.063083166,0.124897246,0.581861808,0.050496287,0.028977367,0.030176404,0.059260909,0.112822648,0.438440718,0.060423241,0.173003213,0.113882692,0.057852004,0.095570316,0.050808227,0.120441086,0.117264132,0.060717413,0.114048062,0.049768394,0.037759266,0.100880221,0.183535012,0.07888617,0.228734428,0.028337514,0.081650243,0.216810367,0.044318211,0.07354483,0.099453071,0.165939298
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
