"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","37.7","25.5","302.5","2.5","0.5","3.8","18.4","0.2","0.1","23.8"
"","high","40.0","28.0","316.2","3.0","0.0","4.4","20.4","0.3","0.0","29.6"
"","low","36.5","24.4","283.0","2.1","0.8","3.0","16.6","0.0","0.2","22.8"
"Russell Wilson","SEA","33.8","23.8","279.9","2.3","0.6","5.2","27.8","0.1","0.2","22.2"
"","high","35.4","25.8","312.0","2.5","0.0","6.0","31.0","0.2","0.1","25.0"
"","low","32.0","21.6","266.2","2.0","0.8","4.6","25.1","0.0","0.3","21.2"
"Lamar Jackson","BAL","27.0","17.1","201.9","1.5","0.7","9.8","57.6","0.5","0.3","21.2"
"","high","31.4","20.0","226.1","2.1","0.5","11.4","68.9","1.0","0.3","25.7"
"","low","23.8","15.2","179.5","1.0","1.0","7.0","44.3","0.3","0.3","21.3"
"Josh Allen","BUF","34.7","22.1","252.3","1.7","0.7","7.1","34.8","0.4","0.3","20.7"
"","high","36.4","23.7","266.8","2.0","0.0","8.0","43.1","0.6","0.1","24.0"
"","low","32.9","20.1","235.0","1.5","1.0","5.4","25.0","0.0","0.3","19.1"
"Kyler Murray","ARI","34.1","22.8","240.3","1.4","0.8","7.9","42.9","0.5","0.2","20.5"
"","high","35.9","23.6","252.7","1.7","0.7","9.0","54.0","1.0","0.1","27.2"
"","low","32.0","22.2","230.0","1.0","1.0","6.6","35.4","0.3","0.2","19.8"
"Deshaun Watson","HOU","33.4","22.3","264.1","1.8","0.8","5.7","30.2","0.2","0.1","20.5"
"","high","35.0","23.0","274.0","2.0","0.7","6.4","36.5","0.3","0.0","23.5"
"","low","32.4","21.6","256.5","1.6","1.0","5.0","23.8","0.0","0.2","20.3"
"Aaron Rodgers","GB","35.5","23.8","272.0","2.2","0.3","2.4","11.0","0.1","0.2","20.2"
"","high","39.0","27.0","288.0","2.7","0.0","3.4","17.9","0.1","0.1","23.2"
"","low","32.1","21.0","246.1","1.9","0.6","2.0","7.6","0.0","0.2","18.8"
"Justin Herbert","LAC","36.3","24.2","283.9","1.9","0.9","3.6","16.3","0.2","0.2","19.8"
"","high","38.2","25.3","304.0","2.1","0.6","4.5","19.4","0.3","0.1","22.7"
"","low","34.0","23.0","260.2","1.7","1.1","3.0","13.4","0.0","0.3","18.8"
"Ryan Tannehill","TEN","29.6","19.6","245.3","2.0","0.5","3.1","13.4","0.1","0.2","18.7"
"","high","34.5","22.5","265.0","2.4","0.0","3.6","16.1","0.2","0.0","21.5"
"","low","27.6","17.9","213.1","1.8","0.8","2.6","10.0","0.0","0.2","16.8"
"Taysom Hill","NO","24.4","16.0","190.0","1.0","0.8","8.1","43.8","0.8","0.3","18.6"
"","high","31.6","20.1","230.3","1.5","0.3","10.9","56.1","2.0","0.1","25.6"
"","low","7.3","4.5","83.2","0.0","1.0","4.7","35.6","0.4","0.5","16.4"
"Cam Newton","NE","30.1","19.3","210.9","1.1","0.9","8.2","36.6","0.6","0.1","17.9"
"","high","31.9","20.9","223.1","1.4","0.6","9.5","49.1","1.0","0.1","23.8"
"","low","27.0","17.6","191.8","0.7","1.1","7.0","31.0","0.3","0.2","17.1"
"Ben Roethlisberger","PIT","36.8","24.6","268.6","2.0","0.6","1.2","2.2","0.1","0.1","17.9"
"","high","38.8","25.3","281.0","2.3","0.0","2.0","4.5","0.1","0.0","22.1"
"","low","35.9","23.9","248.0","1.8","0.9","0.0","0.0","0.0","0.2","16.7"
"Kirk Cousins","MIN","31.4","21.4","263.0","2.0","0.8","2.0","6.1","0.1","0.2","17.7"
"","high","34.0","23.0","275.5","2.2","0.7","2.8","7.3","0.1","0.1","22.2"
"","low","28.2","18.7","232.7","2.0","1.0","1.7","3.9","0.0","0.3","16.3"
"Derek Carr","LV","33.0","22.8","261.0","1.9","0.6","2.5","7.7","0.1","0.3","17.1"
"","high","35.7","24.3","275.0","2.0","0.5","4.0","12.8","0.1","0.1","21.6"
"","low","31.8","21.0","242.0","1.8","1.0","1.6","5.1","0.0","0.6","16.6"
"Jared Goff","LAR","36.8","24.1","279.3","1.7","0.9","2.6","7.0","0.1","0.2","17.0"
"","high","41.0","26.7","296.8","2.0","0.8","2.9","11.6","0.2","0.1","21.7"
"","low","34.0","22.0","261.8","1.3","1.0","2.0","4.0","0.0","0.3","16.5"
"Philip Rivers","IND","35.5","23.7","276.6","1.8","0.7","1.0","1.4","0.0","0.1","16.9"
"","high","36.6","24.9","284.0","2.0","0.0","1.6","2.6","0.0","0.0","21.7"
"","low","34.0","22.7","271.4","1.4","1.0","0.0","0.0","0.0","0.2","15.4"
"Mitchell Trubisky","CHI","34.2","21.2","241.4","1.5","0.9","3.1","16.2","0.1","0.2","16.0"
"","high","36.4","22.4","256.1","1.8","0.8","4.1","20.3","0.2","0.0","18.3"
"","low","31.9","19.0","224.2","1.0","1.1","2.0","10.0","0.0","0.3","16.4"
"Matt Ryan","ATL","36.4","23.3","274.5","1.4","0.9","2.1","6.1","0.0","0.2","15.3"
"","high","39.6","25.7","292.9","1.7","0.6","3.0","8.8","0.1","0.1","17.4"
"","low","32.0","20.0","259.0","1.0","1.5","1.0","3.9","0.0","0.2","15.0"
"Baker Mayfield","CLE","32.6","20.0","234.9","1.6","0.9","2.4","9.5","0.1","0.1","15.2"
"","high","35.0","21.4","251.3","2.0","0.8","2.8","15.8","0.1","0.0","20.6"
"","low","30.5","18.8","219.0","1.3","1.0","1.8","6.0","0.0","0.2","12.7"
"Matthew Stafford","DET","35.5","22.7","257.1","1.5","0.8","2.1","6.3","0.0","0.2","15.1"
"","high","37.0","25.0","274.0","2.0","0.6","2.2","8.0","0.1","0.1","22.1"
"","low","34.1","21.5","235.0","1.2","1.0","2.0","4.0","0.0","0.3","13.7"
"Ryan Fitzpatrick","MIA","32.0","20.8","204.2","1.5","0.8","3.5","13.5","0.1","0.1","14.8"
"","high","34.8","22.0","265.2","2.0","0.1","3.8","19.4","0.3","0.0","21.7"
"","low","27.2","17.9","18.0","0.1","1.1","3.0","0.1","0.0","0.2","1.2"
"Carson Wentz","PHI","34.7","21.8","240.2","1.3","1.1","3.7","16.2","0.1","0.3","14.6"
"","high","36.8","22.8","249.4","1.6","0.7","4.3","20.7","0.3","0.1","17.4"
"","low","29.0","20.0","229.0","1.0","2.0","3.0","11.0","0.0","0.4","15.0"
"Andy Dalton","DAL","35.0","21.6","234.2","1.4","0.9","2.4","9.6","0.1","0.2","14.2"
"","high","38.6","24.4","242.2","2.0","0.8","3.0","11.3","0.2","0.1","20.6"
"","low","29.0","18.0","222.0","1.1","1.2","1.0","7.8","0.0","0.2","12.4"
"Nick Mullens","SF","32.5","21.5","253.0","1.4","1.0","0.9","2.4","0.0","0.2","13.7"
"","high","34.6","23.0","273.3","1.6","0.8","1.7","4.8","0.1","0.1","16.3"
"","low","29.3","19.9","219.0","1.0","1.3","0.0","0.0","0.0","0.3","12.0"
"Drew Lock","DEN","35.1","20.5","232.3","1.2","1.1","3.4","13.1","0.1","0.2","13.4"
"","high","38.2","23.0","268.0","1.4","0.8","5.0","17.0","0.2","0.1","18.1"
"","low","33.0","17.8","200.0","1.0","1.8","2.4","10.5","0.0","0.3","11.6"
"Sam Darnold","NYJ","31.7","18.9","217.1","1.3","1.0","3.1","12.5","0.1","0.1","13.3"
"","high","34.4","20.9","227.8","1.4","0.9","5.0","18.4","0.2","0.1","15.9"
"","low","29.0","17.0","207.6","1.0","1.4","2.4","8.2","0.0","0.2","12.6"
"Mike Glennon","JAC","36.0","22.8","242.4","1.3","0.9","1.8","4.6","0.0","0.3","13.3"
"","high","38.8","25.2","267.4","1.6","0.8","2.6","8.9","0.1","0.1","16.0"
"","low","33.7","21.0","216.0","1.0","1.1","1.0","0.4","0.0","0.7","12.7"
"Colt McCoy","NYG","32.2","20.4","226.9","1.0","0.9","3.4","14.3","0.1","0.2","12.7"
"","high","37.9","24.4","272.4","1.2","0.8","5.0","20.1","0.1","0.1","17.2"
"","low","28.8","17.3","198.3","0.8","1.0","1.6","5.1","0.0","0.4","11.9"
"Alex Smith","WAS","33.5","20.9","227.9","1.0","0.6","2.1","7.8","0.0","0.1","12.7"
"","high","37.0","24.0","262.0","1.2","0.0","3.0","11.4","0.1","0.0","17.4"
"","low","29.5","19.2","205.6","0.7","1.3","1.0","3.0","0.0","0.2","10.2"
"Brandon Allen","CIN","33.1","19.7","223.3","0.9","1.1","3.1","12.5","0.1","0.3","11.7"
"","high","39.1","24.4","277.2","1.1","0.9","4.3","19.7","0.1","0.1","14.8"
"","low","27.0","16.0","194.1","0.8","1.5","2.0","9.0","0.0","0.5","10.1"
"Tua Tagovailoa","MIA","14.9","9.4","139.4","0.7","0.4","0.9","7.5","0.1","0.1","8.3"
"","high","23.0","14.2","220.2","1.5","0.1","1.8","19.3","0.2","0.0","16.2"
"","low","6.8","4.5","53.6","0.1","0.7","0.1","0.6","0.0","0.2","3.6"
"Robert Griffin III","BAL","7.4","3.7","75.3","0.3","0.2","4.8","22.5","0.1","0.1","6.4"
"","high","13.7","6.7","157.9","1.0","0.0","9.2","46.6","0.2","0.0","15.3"
"","low","1.2","0.7","8.1","0.0","0.4","0.3","1.8","0.0","0.2","0.5"
"Daniel Jones","NYG","13.7","8.6","78.3","0.1","0.4","1.6","6.6","0.0","0.3","3.0"
"","high","24.0","15.1","133.8","0.2","0.1","2.7","10.1","0.0","0.0","1.4"
"","low","3.5","2.2","22.8","0.1","0.7","0.5","3.2","0.0","0.5","1.4"
"Jalen Hurts","PHI","5.7","3.4","27.1","0.0","0.2","1.8","7.8","0.0","0.1","1.9"
"","high","13.8","8.2","78.7","0.1","0.0","2.9","21.5","0.1","0.0","3.4"
"","low","1.5","0.9","8.5","0.0","0.4","1.1","0.6","0.0","0.1","0.6"
"Nick Foles","CHI","3.8","2.4","30.9","0.1","0.1","0.2","0.1","0.0","0.0","1.6"
"","high","3.8","2.4","35.0","0.2","0.1","0.2","0.2","0.0","0.0","1.7"
"","low","3.8","2.4","26.9","0.1","0.1","0.2","0.0","0.0","0.0","1.5"
"Trace McSorley","BAL","0.0","0.0","22.4","0.1","0.1","0.0","1.5","0.0","0.0","1.4"
"","high","0.0","0.0","22.4","0.1","0.1","0.0","1.5","0.0","0.0","1.5"
"","low","0.0","0.0","22.4","0.1","0.1","0.0","1.5","0.0","0.0","1.5"
"Gardner Minshew II","JAC","1.8","1.1","16.1","0.1","0.1","0.2","0.6","0.0","0.0","1.0"
"","high","1.8","1.1","20.8","0.1","0.0","0.2","1.0","0.0","0.0","1.3"
"","low","1.8","1.1","11.4","0.1","0.1","0.2","0.2","0.0","0.0","1.0"
"Jacoby Brissett","IND","4.6","2.3","17.1","0.0","0.1","1.2","2.5","0.0","0.0","1.0"
"","high","12.8","6.3","43.6","0.1","0.0","2.4","4.9","0.1","0.0","1.2"
"","low","0.2","0.1","1.1","0.0","0.2","0.1","0.0","0.0","0.1","0.3"
"Marcus Mariota","LV","1.3","1.0","10.6","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"","high","1.3","1.0","10.6","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"","low","1.3","1.0","10.6","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"Jake Luton","JAC","1.4","0.9","9.3","0.1","0.0","0.1","1.0","0.0","0.0","0.9"
"","high","1.4","0.9","9.3","0.1","0.0","0.1","1.0","0.0","0.0","0.9"
"","low","1.4","0.9","9.3","0.1","0.0","0.1","1.0","0.0","0.0","0.9"
"David Blough","DET","1.5","0.8","9.1","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"","high","1.5","0.8","9.1","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"","low","1.5","0.8","9.1","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"Jarrett Stidham","NE","1.2","0.8","8.3","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"","high","1.2","0.8","8.3","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"","low","1.2","0.8","8.3","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"Tyrod Taylor","LAC","1.5","1.0","12.0","0.1","0.0","0.3","0.6","0.0","0.0","0.8"
"","high","1.5","1.0","12.2","0.1","0.0","0.3","1.0","0.0","0.0","1.0"
"","low","1.5","1.0","11.8","0.0","0.1","0.3","0.3","0.0","0.0","0.7"
"John Wolford","LAR","1.1","0.8","8.4","0.1","0.0","0.1","0.2","0.0","0.0","0.8"
"","high","1.1","0.8","8.4","0.1","0.0","0.1","0.2","0.0","0.0","0.8"
"","low","1.1","0.8","8.4","0.1","0.0","0.1","0.2","0.0","0.0","0.8"
"Mason Rudolph","PIT","1.5","1.0","11.9","0.1","0.1","0.2","0.2","0.0","0.0","0.7"
"","high","1.5","1.0","13.7","0.1","0.0","0.2","0.3","0.0","0.0","0.8"
"","low","1.5","1.0","10.0","0.1","0.1","0.2","0.0","0.0","0.0","0.7"
