"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Derrick Henry","TEN","22.3","107.3","1.0","1.5","12.2","0.1","0.1","18.9"
"","high","24.8","120.3","1.3","1.9","15.5","0.1","0.1","22.8"
"","low","18.9","90.5","0.7","1.2","9.7","0.0","0.2","15.3"
"Christian McCaffrey","CAR","13.9","62.8","0.6","5.1","43.3","0.3","0.1","18.1"
"","high","17.4","77.1","0.7","6.1","52.2","0.5","0.0","21.5"
"","low","10.0","45.4","0.5","3.1","27.6","0.2","0.2","13.5"
"Dalvin Cook","MIN","19.8","81.4","0.7","3.5","29.8","0.1","0.2","17.5"
"","high","21.3","94.5","1.0","3.7","30.9","0.2","0.1","19.4"
"","low","18.2","69.1","0.6","3.2","28.1","0.1","0.2","16.7"
"Aaron Jones","GB","14.4","68.5","0.8","3.3","27.0","0.2","0.1","16.9"
"","high","15.6","79.1","1.0","4.0","28.4","0.3","0.0","18.4"
"","low","12.9","54.4","0.5","3.0","25.5","0.1","0.2","13.2"
"James Robinson","JAC","17.9","78.4","0.6","3.5","26.5","0.1","0.1","16.7"
"","high","18.9","86.8","0.7","4.0","29.5","0.2","0.0","17.3"
"","low","17.0","73.7","0.6","3.0","23.2","0.1","0.2","16.0"
"Austin Ekeler","LAC","10.9","52.0","0.3","5.2","50.0","0.3","0.1","15.9"
"","high","12.9","58.3","0.4","5.9","54.9","0.4","0.0","16.6"
"","low","7.4","43.6","0.2","4.3","43.6","0.2","0.2","15.1"
"Alvin Kamara","NO","13.1","58.6","0.5","4.2","36.2","0.2","0.1","15.6"
"","high","14.4","65.5","0.7","5.0","43.7","0.2","0.0","17.9"
"","low","9.9","48.1","0.4","3.1","27.2","0.1","0.2","15.1"
"Chris Carson","SEA","15.0","63.5","0.5","2.9","22.3","0.2","0.1","14.1"
"","high","16.6","78.0","0.6","3.5","27.4","0.3","0.1","15.0"
"","low","13.3","54.4","0.4","2.3","17.9","0.2","0.2","12.4"
