"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Dalvin Cook","MIN","21.5","104.8","1.1","3.4","31.2","0.1","0.2","20.4"
"","high","24.7","115.6","1.3","4.0","39.1","0.2","0.1","22.5"
"","low","19.8","90.6","0.8","3.0","26.6","0.0","0.2","17.2"
"Derrick Henry","TEN","22.1","104.9","1.0","1.4","11.1","0.0","0.1","17.7"
"","high","24.0","112.5","1.3","1.6","13.3","0.1","0.1","20.9"
"","low","18.7","92.4","0.7","1.0","8.2","0.0","0.2","14.8"
"James Robinson","JAC","19.0","80.8","0.6","3.3","24.9","0.1","0.1","14.4"
"","high","22.0","87.9","1.0","3.9","29.3","0.1","0.0","16.9"
"","low","17.0","75.3","0.4","2.8","21.8","0.0","0.2","13.5"
"Aaron Jones","GB","13.8","63.9","0.7","3.4","26.1","0.2","0.1","14.1"
"","high","15.5","66.7","1.0","4.0","29.0","0.3","0.0","15.4"
"","low","12.4","57.8","0.5","3.1","20.9","0.0","0.2","13.3"
"Austin Ekeler","LAC","11.8","55.5","0.4","5.2","48.7","0.2","0.1","14.1"
"","high","15.6","70.9","1.0","6.0","51.4","0.4","0.0","15.9"
"","low","7.5","45.1","0.2","4.4","44.0","0.0","0.2","12.0"
"Nick Chubb","CLE","16.8","85.5","0.6","1.4","9.9","0.0","0.1","13.4"
"","high","21.0","103.0","1.0","2.4","14.0","0.1","0.1","16.9"
"","low","14.6","70.8","0.5","1.0","6.0","0.0","0.2","12.3"
"Alvin Kamara","NO","12.2","52.1","0.5","4.0","34.4","0.1","0.1","12.5"
"","high","13.9","63.0","1.0","4.9","43.0","0.2","0.0","14.8"
"","low","9.6","38.5","0.3","3.0","24.7","0.0","0.2","9.2"
"Miles Sanders","PHI","13.9","69.4","0.4","2.8","23.7","0.1","0.1","12.2"
"","high","17.0","77.0","1.0","3.4","29.8","0.1","0.1","15.6"
"","low","10.8","61.4","0.3","2.0","17.2","0.0","0.2","11.1"
"Antonio Gibson","WAS","13.9","60.5","0.7","3.0","20.4","0.0","0.1","12.0"
"","high","15.0","67.0","1.0","3.7","22.2","0.1","0.0","14.8"
"","low","12.9","50.9","0.5","2.5","18.4","0.0","0.2","11.5"
"Chris Carson","SEA","14.0","60.9","0.6","2.7","20.1","0.1","0.1","11.9"
"","high","16.5","77.0","1.0","3.3","24.4","0.2","0.1","14.1"
"","low","12.0","52.0","0.4","2.0","16.0","0.0","0.2","10.1"
"Raheem Mostert","SF","13.4","65.6","0.6","1.9","15.4","0.1","0.2","11.9"
"","high","16.0","81.3","1.0","2.4","18.4","0.2","0.1","14.4"
"","low","11.2","53.9","0.4","1.3","11.6","0.0","0.2","9.7"
"David Montgomery","CHI","15.9","63.3","0.4","2.7","21.3","0.1","0.1","11.3"
"","high","18.1","76.2","0.5","3.1","25.8","0.2","0.1","13.3"
"","low","14.7","54.8","0.0","2.4","18.7","0.0","0.2","8.4"
"Wayne Gallman","NYG","14.5","58.1","0.7","2.1","13.9","0.1","0.1","11.2"
"","high","18.0","74.0","1.0","3.3","18.1","0.1","0.1","14.3"
"","low","10.9","48.4","0.5","1.0","9.0","0.0","0.2","9.6"
"Kenyan Drake","ARI","14.7","61.9","0.6","1.8","13.3","0.0","0.1","10.9"
"","high","17.7","72.6","1.0","3.0","22.6","0.1","0.1","13.6"
"","low","11.5","54.4","0.3","1.2","7.7","0.0","0.2","8.6"
"Jonathan Taylor","IND","13.1","55.4","0.5","2.3","18.8","0.1","0.1","10.8"
"","high","15.0","64.0","1.0","3.1","25.1","0.1","0.1","13.7"
"","low","11.7","49.1","0.3","2.0","13.0","0.0","0.1","9.8"
"Ezekiel Elliott","DAL","16.7","68.2","0.3","2.7","19.2","0.1","0.2","10.6"
"","high","18.3","73.1","0.5","3.0","23.0","0.1","0.1","12.0"
"","low","13.6","60.3","0.0","2.3","15.7","0.0","0.3","9.1"
"Clyde Edwards-Helaire","KC","12.9","57.4","0.3","2.5","20.4","0.1","0.0","10.4"
