"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.5","86.2","0.5","0.0","18.1"
"","high","7.0","93.4","0.6","0.0","18.9"
"","low","6.4","77.8","0.4","0.1","17.4"
"Darren Waller","LV","6.4","68.2","0.5","0.1","16.1"
"","high","6.8","74.5","0.5","0.0","17.0"
"","low","6.2","63.1","0.4","0.1","15.7"
"T.J. Hockenson","DET","4.4","51.8","0.4","0.0","11.9"
"","high","4.6","54.8","0.4","0.0","12.3"
"","low","4.2","47.9","0.3","0.0","11.0"
"Mark Andrews","BAL","3.9","50.1","0.4","0.0","11.1"
"","high","4.6","54.2","0.5","0.0","12.2"
"","low","3.3","42.1","0.0","0.0","11.2"
"Evan Engram","NYG","4.5","49.3","0.2","0.0","10.6"
"","high","5.3","60.1","0.4","0.0","11.5"
"","low","3.9","44.1","0.0","0.1","10.2"
"Eric Ebron","PIT","4.3","46.0","0.3","0.0","10.5"
"","high","5.3","58.6","0.4","0.0","11.4"
"","low","3.7","38.2","0.2","0.1","9.9"
"Hunter Henry","LAC","4.0","46.2","0.3","0.0","10.4"
"","high","4.8","57.1","0.3","0.0","10.8"
"","low","3.3","37.5","0.2","0.1","9.3"
"Robert Tonyan","GB","3.5","42.4","0.4","0.0","10.2"
"","high","4.4","53.8","0.5","0.0","10.6"
"","low","3.2","36.4","0.3","0.0","9.3"
"Noah Fant","DEN","4.2","47.8","0.2","0.0","10.1"
"","high","4.7","59.3","0.3","0.0","10.7"
"","low","3.6","40.4","0.0","0.1","9.4"
"Rob Gronkowski","TB","3.5","48.1","0.3","0.0","10.0"
"","high","4.2","64.6","0.4","0.0","10.4"
"","low","3.2","41.4","0.1","0.0","9.3"
"Mike Gesicki","MIA","3.8","46.0","0.3","0.0","9.9"
"","high","5.2","60.2","0.3","0.0","10.4"
"","low","3.0","38.5","0.1","0.1","9.4"
"Dallas Goedert","PHI","4.0","44.9","0.2","0.0","9.8"
"","high","5.7","60.5","0.3","0.0","10.1"
"","low","3.0","35.1","0.0","0.1","9.4"
"Hayden Hurst","ATL","3.9","41.7","0.2","0.0","9.5"
"","high","4.5","52.4","0.3","0.0","10.1"
"","low","3.4","34.9","0.1","0.0","8.7"
"Dalton Schultz","DAL","4.0","41.4","0.2","0.1","9.4"
"","high","5.5","54.7","0.3","0.0","10.1"
"","low","3.3","32.9","0.0","0.1","8.8"
"Logan Thomas","WAS","4.0","38.4","0.3","0.0","9.3"
"","high","5.8","54.6","0.4","0.0","10.0"
"","low","3.4","32.4","0.0","0.0","8.9"
"Jordan Reed","SF","3.9","38.7","0.2","0.0","9.2"
"","high","5.5","54.1","0.4","0.0","10.3"
"","low","2.9","26.6","0.0","0.1","8.3"
"Tyler Higbee","LAR","3.2","35.7","0.2","0.0","8.0"
"","high","3.9","42.1","0.3","0.0","8.9"
"","low","2.7","29.6","0.1","0.0","7.4"
"Austin Hooper","CLE","3.3","33.6","0.2","0.0","7.8"
"","high","3.7","38.3","0.3","0.0","8.5"
"","low","2.9","28.7","0.0","0.0","7.6"
"Zach Ertz","PHI","3.4","34.5","0.1","0.0","7.7"
"","high","4.3","42.6","0.2","0.0","8.9"
"","low","2.6","28.7","0.0","0.0","7.4"
"Trey Burton","IND","3.0","30.0","0.2","0.0","7.3"
"","high","4.1","39.4","0.3","0.0","7.6"
"","low","2.6","27.1","0.0","0.0","6.9"
"Tyler Eifert","JAC","2.9","30.0","0.2","0.0","7.1"
"","high","3.4","37.5","0.3","0.0","7.7"
"","low","2.6","24.6","0.0","0.0","6.6"
"Kyle Rudolph","MIN","2.9","31.3","0.2","0.0","7.1"
"","high","4.0","39.0","0.2","0.0","7.7"
"","low","2.4","24.7","0.1","0.1","6.8"
"Jordan Akins","HOU","2.8","33.1","0.1","0.0","7.0"
"","high","3.6","43.1","0.2","0.0","7.7"
"","low","2.4","24.5","0.0","0.0","6.5"
"Jacob Hollister","SEA","3.0","27.0","0.2","0.0","6.8"
"","high","4.2","36.4","0.3","0.0","7.6"
"","low","2.4","21.1","0.0","0.0","6.3"
"Jonnu Smith","TEN","2.3","26.5","0.3","0.0","6.6"
"","high","2.9","34.6","0.5","0.0","8.8"
"","low","1.6","17.7","0.0","0.0","5.1"
"Anthony Firkser","TEN","2.6","29.4","0.2","0.0","6.5"
"","high","4.1","47.0","0.2","0.0","7.0"
"","low","1.8","19.5","0.0","0.0","5.7"
"Drew Sample","CIN","3.0","28.9","0.1","0.1","6.5"
"","high","4.6","39.9","0.2","0.0","7.5"
"","low","2.1","18.7","0.0","0.1","5.4"
"Gerald Everett","LAR","2.8","29.6","0.1","0.0","6.5"
"","high","3.4","37.8","0.2","0.0","6.7"
"","low","2.5","26.4","0.1","0.1","6.2"
"Cole Kmet","CHI","2.5","26.7","0.2","0.0","6.3"
"","high","3.3","36.9","0.3","0.0","7.3"
"","low","1.9","19.2","0.1","0.0","5.2"
"Jared Cook","NO","2.1","28.8","0.2","0.0","6.1"
"","high","3.0","40.1","0.3","0.0","6.3"
"","low","1.6","21.9","0.0","0.0","5.9"
"Mo Alie-Cox","IND","2.3","28.9","0.1","0.0","6.0"
"","high","2.9","39.4","0.2","0.0","6.4"
"","low","1.9","23.4","0.0","0.1","5.3"
"Virgil Green","LAC","1.9","23.2","0.3","0.1","5.8"
"","high","1.9","23.2","0.3","0.1","6.0"
"","low","1.9","23.2","0.3","0.1","6.0"
"Jimmy Graham","CHI","2.2","23.7","0.1","0.0","5.4"
