"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.3","79.6","0.7","0.0","11.8"
"","high","6.7","87.0","1.0","0.0","13.8"
"","low","6.0","74.4","0.5","0.1","10.9"
"Darren Waller","LV","6.2","65.7","0.5","0.1","9.7"
"","high","6.8","75.0","1.0","0.0","13.5"
"","low","5.8","59.8","0.3","0.1","8.5"
"Mark Andrews","BAL","3.6","45.1","0.6","0.0","8.0"
"","high","5.0","58.0","1.0","0.0","11.8"
"","low","2.4","32.7","0.0","0.0","8.7"
"T.J. Hockenson","DET","4.3","47.8","0.5","0.0","7.6"
"","high","6.0","64.0","1.0","0.0","12.4"
"","low","3.8","39.9","0.3","0.0","6.0"
"Hunter Henry","LAC","4.4","50.5","0.4","0.0","7.5"
"","high","5.0","58.1","1.0","0.0","11.6"
"","low","3.8","43.6","0.1","0.1","6.4"
"Dallas Goedert","PHI","4.2","46.5","0.4","0.0","6.9"
"","high","5.6","60.0","1.0","0.0","12.0"
"","low","3.2","35.3","0.1","0.1","5.1"
"Robert Tonyan","GB","3.3","39.3","0.4","0.0","6.4"
"","high","4.6","57.1","1.0","0.0","10.4"
"","low","2.8","31.3","0.1","0.0","4.7"
"Evan Engram","NYG","4.5","52.8","0.2","0.0","6.3"
"","high","5.2","62.0","0.3","0.0","6.8"
"","low","3.8","46.7","0.0","0.1","6.0"
"Eric Ebron","PIT","4.0","43.3","0.2","0.0","5.7"
"","high","5.4","60.8","0.5","0.0","6.9"
"","low","3.4","37.8","0.0","0.1","4.5"
"Mike Gesicki","MIA","3.5","43.4","0.2","0.0","5.6"
"","high","5.1","60.7","0.4","0.0","6.1"
"","low","2.9","37.4","0.0","0.1","4.2"
"Hayden Hurst","ATL","3.9","43.0","0.2","0.0","5.4"
"","high","4.7","54.3","0.3","0.0","6.2"
"","low","3.2","34.7","0.0","0.0","4.3"
"Noah Fant","DEN","3.9","45.2","0.2","0.0","5.4"
"","high","4.4","55.0","0.3","0.0","5.9"
"","low","3.3","37.9","0.0","0.1","4.6"
"Austin Hooper","CLE","3.7","38.9","0.2","0.0","5.0"
"","high","5.1","52.4","0.4","0.0","6.3"
"","low","3.0","34.1","0.0","0.0","3.6"
"Jonnu Smith","TEN","3.1","34.5","0.2","0.0","4.9"
"","high","4.9","55.9","0.5","0.0","5.8"
"","low","2.4","26.2","0.0","0.0","3.6"
"Jordan Reed","SF","3.7","38.2","0.2","0.0","4.8"
"","high","5.4","52.7","0.3","0.0","5.6"
"","low","3.0","27.5","0.0","0.1","4.2"
"Jimmy Graham","CHI","3.1","33.2","0.2","0.0","4.5"
"","high","3.7","42.3","0.4","0.0","5.9"
"","low","2.4","25.8","0.0","0.0","3.5"
"Jordan Akins","HOU","3.2","36.6","0.1","0.0","4.5"
"","high","4.0","44.5","0.3","0.0","5.4"
"","low","2.4","28.4","0.0","0.0","4.0"
"Dalton Schultz","DAL","3.7","36.4","0.2","0.1","4.5"
"","high","4.8","47.6","0.3","0.0","5.2"
"","low","3.0","32.7","0.0","0.1","3.3"
"Kyle Rudolph","MIN","3.1","34.1","0.2","0.0","4.5"
"","high","5.1","50.5","0.3","0.0","5.1"
"","low","2.2","23.7","0.0","0.1","3.1"
"Zach Ertz","PHI","3.3","33.2","0.2","0.0","4.2"
"","high","4.3","44.2","0.2","0.0","4.6"
"","low","2.8","27.4","0.0","0.0","3.9"
"Trey Burton","IND","3.1","32.4","0.2","0.0","4.2"
"","high","4.7","45.2","0.3","0.0","5.0"
"","low","2.1","22.1","0.0","0.0","3.5"
"Tyler Higbee","LAR","2.8","31.4","0.2","0.0","4.2"
"","high","3.1","39.1","0.3","0.0","5.5"
"","low","2.0","23.0","0.0","0.0","2.3"
"Logan Thomas","WAS","3.3","32.5","0.1","0.0","4.0"
"","high","4.8","44.9","0.3","0.0","4.5"
"","low","2.3","23.0","0.0","0.0","2.6"
"Jared Cook","NO","2.3","29.9","0.1","0.0","3.9"
"","high","3.0","40.0","0.4","0.0","5.5"
"","low","1.5","21.9","0.0","0.0","3.1"
"Virgil Green","LAC","1.8","21.7","0.3","0.1","3.8"
"","high","1.8","21.7","0.3","0.1","4.0"
"","low","1.8","21.7","0.3","0.1","4.0"
"Tyler Eifert","JAC","2.6","27.8","0.1","0.0","3.6"
"","high","3.6","40.6","0.2","0.0","4.1"
"","low","2.0","21.6","0.0","0.0","2.7"
"Jacob Hollister","SEA","2.7","26.1","0.1","0.0","3.4"
"","high","4.4","37.9","0.2","0.0","3.8"
"","low","2.0","19.8","0.0","0.0","2.6"
"Gerald Everett","LAR","2.5","27.4","0.1","0.0","3.3"
"","high","3.8","42.6","0.2","0.0","3.7"
"","low","1.0","14.0","0.0","0.1","1.4"
"Anthony Firkser","TEN","2.1","22.9","0.1","0.0","3.0"
"","high","2.7","31.3","0.2","0.0","3.7"
"","low","1.7","19.0","0.0","0.0","1.9"
"Irv Smith Jr.","MIN","1.8","19.8","0.2","0.0","2.9"
"","high","2.3","26.5","0.3","0.0","4.5"
"","low","1.2","12.6","0.0","0.0","2.2"
"Darren Fells","HOU","1.7","20.0","0.1","0.0","2.8"
"","high","2.3","29.4","0.3","0.0","4.7"
"","low","1.2","12.5","0.0","0.0","2.0"
"Drew Sample","CIN","2.6","24.5","0.1","0.1","2.8"
"","high","4.1","37.4","0.1","0.0","3.7"
"","low","1.8","18.4","0.0","0.1","2.1"
"Mo Alie-Cox","IND","1.7","22.4","0.1","0.0","2.7"
"","high","2.5","35.4","0.2","0.0","3.1"
"","low","1.0","12.0","0.0","0.1","1.2"
"Will Dissly","SEA","1.6","20.1","0.1","0.0","2.7"
"","high","2.7","34.3","0.2","0.0","3.9"
"","low","0.9","11.6","0.0","0.0","1.3"
"Harrison Bryant","CLE","1.8","19.4","0.1","0.1","2.6"
"","high","2.2","23.8","0.3","0.0","3.9"
"","low","1.4","15.2","0.0","0.2","1.8"
"Dawson Knox","BUF","1.8","21.5","0.1","0.0","2.6"
"","high","2.5","33.6","0.2","0.0","2.7"
"","low","1.3","16.1","0.0","0.1","2.3"
"Richard Rodgers","PHI","1.7","22.1","0.1","0.0","2.6"
"","high","2.1","26.0","0.2","0.0","2.8"
"","low","1.4","18.5","0.0","0.0","2.5"
"Cole Kmet","CHI","1.7","18.9","0.1","0.0","2.6"
"","high","2.3","25.5","0.2","0.0","3.7"
"","low","1.0","10.0","0.1","0.0","1.5"
"Dan Arnold","ARI","1.6","19.4","0.1","0.0","2.5"
"","high","1.8","23.3","0.1","0.0","2.9"
"","low","1.0","15.0","0.0","0.0","1.5"
"Chris Herndon IV","NYJ","1.8","19.8","0.1","0.1","2.4"
"","high","3.0","34.0","0.2","0.0","3.3"
"","low","1.0","13.5","0.0","0.2","1.5"
"David Njoku","CLE","1.6","17.9","0.1","0.0","2.4"
"","high","2.1","23.9","0.2","0.0","3.6"
"","low","0.7","8.4","0.0","0.0","1.4"
"Luke Willson","BAL","1.9","17.4","0.1","0.0","2.4"
"","high","2.2","19.9","0.2","0.0","3.1"
"","low","1.6","13.6","0.0","0.0","2.0"
"Jack Doyle","IND","1.6","16.6","0.1","0.0","2.2"
"","high","2.8","26.7","0.3","0.0","4.0"
"","low","1.0","10.2","0.0","0.1","1.3"
"Ross Dwelley","SF","1.6","16.5","0.1","0.0","2.1"
"","high","2.8","25.2","0.1","0.0","2.2"
"","low","1.1","12.8","0.0","0.0","1.8"
"Durham Smythe","MIA","1.5","14.4","0.1","0.0","2.1"
"","high","2.8","24.1","0.3","0.0","3.4"
"","low","0.9","8.7","0.0","0.0","1.4"
"Ryan Izzo","NE","1.3","17.1","0.1","0.0","2.1"
"","high","1.5","22.4","0.2","0.0","2.7"
"","low","1.0","12.5","0.0","0.1","1.6"
"MyCole Pruitt","TEN","1.0","8.5","0.2","0.0","2.1"
"","high","1.0","8.5","0.2","0.0","2.1"
"","low","1.0","8.5","0.2","0.0","2.1"
"Adam Shaheen","MIA","1.1","11.1","0.2","0.0","2.0"
"","high","1.8","17.3","0.3","0.0","2.8"
"","low","0.7","6.9","0.1","0.0","1.2"
"Foster Moreau","LV","1.2","13.3","0.1","0.0","1.9"
"","high","1.5","14.6","0.2","0.0","2.4"
"","low","0.9","12.0","0.0","0.0","2.4"
"James O'Shaughnessy","JAC","1.6","15.2","0.1","0.0","1.9"
"","high","2.6","24.6","0.1","0.0","2.2"
"","low","0.8","7.3","0.0","0.0","1.0"
"Marcedes Lewis","GB","1.1","10.7","0.1","0.0","1.9"
"","high","1.6","16.0","0.3","0.0","2.8"
"","low","0.7","7.4","0.1","0.0","1.1"
"Kahale Warring","HOU","1.3","13.8","0.1","0.0","1.8"
"","high","1.6","17.7","0.1","0.0","2.1"
"","low","0.9","10.1","0.0","0.0","1.6"
"Jesse James","DET","1.4","14.6","0.1","0.0","1.8"
"","high","2.3","23.2","0.1","0.0","2.2"
"","low","0.9","9.1","0.0","0.0","1.3"
"Tyler Kroft","BUF","1.2","12.2","0.1","0.0","1.8"
"","high","1.8","17.8","0.2","0.0","2.4"
"","low","0.7","7.3","0.0","0.0","1.2"
"Vance McDonald","PIT","1.5","14.8","0.1","0.0","1.8"
"","high","1.8","15.6","0.1","0.0","2.2"
"","low","1.3","14.1","0.0","0.0","2.2"
"Pharaoh Brown","HOU","1.3","13.9","0.1","0.0","1.7"
"","high","1.8","20.2","0.1","0.0","2.0"
"","low","0.7","7.6","0.0","0.0","1.2"
"Geoff Swaim","TEN","1.4","12.4","0.1","0.0","1.7"
"","high","2.7","22.6","0.1","0.0","1.9"
"","low","0.6","5.4","0.0","0.0","1.1"
"Maxx Williams","ARI","1.3","12.8","0.1","0.0","1.6"
"","high","2.8","26.1","0.1","0.0","1.8"
"","low","0.7","7.1","0.0","0.1","1.0"
"Ryan Griffin","NYJ","1.2","12.4","0.1","0.0","1.6"
"","high","1.4","15.5","0.1","0.0","2.2"
"","low","0.8","7.6","0.0","0.0","1.1"
"Kaden Smith","NYG","1.6","13.3","0.1","0.0","1.6"
"","high","2.0","15.9","0.1","0.0","1.7"
"","low","1.3","11.0","0.0","0.0","1.6"
"Tyler Conklin","MIN","1.1","11.1","0.1","0.0","1.6"
"","high","1.8","16.1","0.1","0.0","1.9"
"","low","0.6","6.2","0.0","0.0","1.2"
"Ricky Seals-Jones","KC","0.8","9.6","0.1","0.0","1.6"
"","high","0.8","9.6","0.1","0.0","1.6"
"","low","0.8","9.6","0.1","0.0","1.6"
"Gabe Nabers","LAC","1.4","15.8","0.0","0.0","1.6"
"","high","1.4","15.8","0.0","0.0","0.0"
"","low","1.4","15.8","0.0","0.0","0.0"
"Lee Smith","BUF","1.3","9.6","0.1","0.0","1.6"
"","high","2.0","14.0","0.2","0.0","1.7"
"","low","0.6","5.1","0.0","0.0","1.7"
"Stephen Carlson","CLE","1.1","12.6","0.1","0.0","1.6"
"","high","1.3","14.4","0.1","0.0","2.0"
"","low","1.0","10.8","0.0","0.0","2.0"
"Adam Trautman","NO","1.0","11.3","0.1","0.0","1.5"
"","high","1.6","17.4","0.1","0.0","1.6"
"","low","0.6","7.3","0.0","0.0","1.3"
"Nick Keizer","KC","1.4","14.9","0.0","0.0","1.5"
"","high","1.4","14.9","0.0","0.0","0.0"
"","low","1.4","14.9","0.0","0.0","0.0"
"Colby Parkinson","SEA","0.8","8.6","0.1","0.0","1.5"
"","high","0.8","8.6","0.1","0.0","1.5"
"","low","0.8","8.6","0.1","0.0","1.5"
"Jordan Thomas","NE","0.9","8.6","0.1","0.0","1.5"
"","high","1.2","11.9","0.2","0.0","1.7"
"","low","0.6","5.2","0.0","0.0","1.7"
"Donald Parham Jr.","LAC","1.0","11.4","0.1","0.0","1.4"
"","high","1.6","17.3","0.1","0.0","1.5"
"","low","0.7","8.3","0.0","0.0","1.3"
"Jason Witten","LV","1.2","10.7","0.1","0.0","1.4"
"","high","2.2","19.7","0.1","0.0","1.2"
"","low","0.7","6.1","0.0","0.0","1.0"
"Noah Togiai","IND","0.8","7.9","0.1","0.0","1.4"
"","high","0.8","7.9","0.1","0.0","1.4"
"","low","0.8","7.9","0.1","0.0","1.4"
"Farrod Green","IND","0.8","7.9","0.1","0.0","1.4"
"","high","0.8","7.9","0.1","0.0","1.4"
"","low","0.8","7.9","0.1","0.0","1.4"
"Josh Hill","NO","1.2","11.1","0.1","0.0","1.4"
