"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","8.0","98.4","0.8","0.0","0.0","0.0","0.0","22.7"
"","high","9.0","113.0","1.0","0.0","0.1","0.0","0.0","25.3"
"","low","7.2","90.3","0.7","0.0","0.0","0.0","0.1","21.6"
"Keenan Allen","LAC","7.5","89.5","0.6","0.1","0.7","0.0","0.1","20.2"
"","high","8.8","104.0","1.0","0.3","1.9","0.0","0.0","22.9"
"","low","5.9","73.6","0.4","0.0","0.0","0.0","0.1","18.3"
"DeAndre Hopkins","ARI","7.3","92.8","0.6","0.0","0.2","0.0","0.1","20.1"
"","high","8.2","107.0","1.0","0.1","0.4","0.0","0.0","23.9"
"","low","5.8","83.1","0.5","0.0","0.0","0.0","0.1","18.3"
"Julio Jones","ATL","6.8","97.2","0.6","0.1","0.5","0.0","0.0","19.9"
"","high","7.2","104.9","1.0","0.1","1.4","0.0","0.0","22.2"
"","low","6.5","88.8","0.4","0.0","0.0","0.0","0.1","18.6"
"Stefon Diggs","BUF","6.5","87.6","0.6","0.2","1.2","0.0","0.1","18.8"
"","high","7.3","95.0","1.0","0.5","2.9","0.0","0.0","22.0"
"","low","5.3","74.6","0.4","0.0","0.0","0.0","0.1","16.8"
"Tyler Lockett","SEA","6.1","78.5","0.7","0.2","1.2","0.0","0.0","18.1"
"","high","7.0","88.0","1.0","0.7","4.7","0.0","0.0","20.9"
"","low","5.1","67.0","0.6","0.0","0.0","0.0","0.1","16.5"
"Terry McLaurin","WAS","5.8","82.3","0.5","0.1","0.5","0.0","0.0","17.2"
"","high","6.1","88.0","1.0","0.2","1.0","0.0","0.0","20.5"
"","low","5.5","72.7","0.3","0.1","0.2","0.0","0.1","15.6"
"Adam Thielen","MIN","5.6","73.6","0.7","0.4","2.1","0.0","0.1","17.2"
"","high","7.0","84.0","1.0","0.6","3.6","0.0","0.0","19.9"
"","low","4.9","65.2","0.5","0.2","0.8","0.0","0.1","15.7"
"Allen Robinson II","CHI","6.3","78.7","0.5","0.1","0.4","0.0","0.1","17.0"
"","high","7.1","89.0","1.0","0.2","1.0","0.0","0.0","20.4"
"","low","5.6","71.2","0.3","0.1","0.1","0.0","0.1","15.8"
